from_node,to_node,distance_m,max_dem_m,cruise_altitude_m,climb_m,descent_m,uav_type,flight_time_s
S002,S014,7654.630751146548,457.5832214355469,507.5832214355469,288.0832214355469,156.58322143554688,C,703.8336160350954
S002,S015,7164.390108585168,593.7526245117188,643.7526245117188,424.25262451171875,169.25262451171875,A,806.1511003573577
S002,S015,7164.390108585168,593.7526245117188,643.7526245117188,424.25262451171875,169.25262451171875,B,686.7445985476049
S002,S015,7164.390108585168,593.7526245117188,643.7526245117188,424.25262451171875,169.25262451171875,C,731.9533692995581
S003,O01,7263.1792565565,511.80413818359375,561.8041381835938,223.30413818359375,434.10413818359376,A,853.3413060476771
S003,O01,7263.1792565565,511.80413818359375,561.8041381835938,223.30413818359375,434.10413818359376,B,732.288318438402
S003,O01,7263.1792565565,511.80413818359375,561.8041381835938,223.30413818359375,434.10413818359376,C,790.5856748023344
S003,S001,7658.743084974101,505.94439697265625,555.9443969726562,217.44439697265625,371.94439697265625,A,859.4878148611231
S003,S001,7658.743084974101,505.94439697265625,555.9443969726562,217.44439697265625,371.94439697265625,B,731.8420967782213
S003,S001,7658.743084974101,505.94439697265625,555.9443969726562,217.44439697265625,371.94439697265625,C,783.5328296069974
S003,S002,9776.0070147188,571.1314086914062,621.1314086914062,282.63140869140625,401.63140869140625,A,1069.5302842669314
S003,S002,9776.0070147188,571.1314086914062,621.1314086914062,282.63140869140625,401.63140869140625,B,906.596834021618
S003,S002,9776.0070147188,571.1314086914062,621.1314086914062,282.63140869140625,401.63140869140625,C,965.6020688035189
S003,S004,8231.97829525179,674.2682495117188,724.2682495117188,385.76824951171875,495.96824951171874,A,1012.9749075795763
S003,S004,8231.97829525179,674.2682495117188,724.2682495117188,385.76824951171875,495.96824951171874,B,875.7752693253798
S003,S004,8231.97829525179,674.2682495117188,724.2682495117188,385.76824951171875,495.96824951171874,C,951.0899775773329
S003,S005,6340.2474614063,533.8880615234375,583.8880615234375,245.3880615234375,388.8880615234375,A,765.7052002343792
S003,S005,6340.2474614063,533.8880615234375,583.8880615234375,245.3880615234375,388.8880615234375,B,660.0344092109408
S003,S005,6340.2474614063,533.8880615234375,583.8880615234375,245.3880615234375,388.8880615234375,C,715.2824194648471
S003,S006,4800.944759246192,612.3626708984375,662.3626708984375,323.8626708984375,347.5626708984375,A,647.0580219293702
S003,S006,4800.944759246192,612.3626708984375,662.3626708984375,323.8626708984375,347.5626708984375,B,567.0422759419337
S003,S006,4800.944759246192,612.3626708984375,662.3626708984375,323.8626708984375,347.5626708984375,C,623.3893877583399
S003,S007,2734.2616228002607,360.6993408203125,410.6993408203125,72.1993408203125,62.1993408203125,A,276.8013185015842
S003,S007,2734.2616228002607,360.6993408203125,410.6993408203125,72.1993408203125,62.1993408203125,B,231.2302914549132
S003,S007,2734.2616228002607,360.6993408203125,410.6993408203125,72.1993408203125,62.1993408203125,C,242.2635149249653
S003,S008,6254.068544603746,746.0787353515625,796.0787353515625,457.5787353515625,525.1787353515625,A,883.7701179747914
S003,S008,6254.068544603746,746.0787353515625,796.0787353515625,457.5787353515625,525.1787353515625,B,779.5356422313955
S003,S008,6254.068544603746,746.0787353515625,796.0787353515625,457.5787353515625,525.1787353515625,C,862.5587647899893
S003,S009,8897.537411915897,544.588134765625,594.588134765625,256.088134765625,364.588134765625,A,972.6594164877831
S003,S009,8897.537411915897,544.588134765625,594.588134765625,256.088134765625,364.588134765625,B,824.3671262891849
S003,S009,8897.537411915897,544.588134765625,594.588134765625,256.088134765625,364.588134765625,C,877.8984820834556
S003,S010,11224.341531884298,466.96417236328125,516.9641723632812,178.46417236328125,165.36417236328123,A,1060.9955207234311
S003,S010,11224.341531884298,466.96417236328125,516.9641723632812,178.46417236328125,165.36417236328123,B,873.9231618586929
S003,S010,11224.341531884298,466.96417236328125,516.9641723632812,178.46417236328125,165.36417236328123,C,902.3571905859064
S003,S011,5356.618098230948,485.42230224609375,535.4223022460938,196.92230224609375,323.3223022460937,A,641.3545298330478
S003,S011,5356.618098230948,485.42230224609375,535.4223022460938,196.92230224609375,323.3223022460937,B,552.0775615291986
S003,S011,5356.618098230948,485.42230224609375,535.4223022460938,196.92230224609375,323.3223022460937,C,597.5379452368809
S003,S012,11816.962386105222,544.5889282226562,594.5889282226562,256.08892822265625,314.78892822265624,A,1196.0254128720499
S003,S012,11816.962386105222,544.5889282226562,594.5889282226562,256.08892822265625,314.78892822265624,B,999.0760397702961
S003,S012,11816.962386105222,544.5889282226562,594.5889282226562,256.08892822265625,314.78892822265624,C,1047.6275278074054
S003,S013,10557.567201469448,505.94439697265625,555.9443969726562,217.44439697265625,204.24439697265626,A,1033.9764912357355
